farm_id,farmer_id,state,district,village,area_in_acres,calculated_area_in_acres,lon,lat
25522,21947,HARYANA,KURUKSHETRA,Lohar majra,10.75,10.37,76.71445944308417,29.95211250956105
25226,21569,HARYANA,SIRSA,Nagoki,10.0,10.05,75.10437268924184,29.652761784935333
25622,22114,HARYANA,FATEHABAD,Baliala,13.0,12.72,75.52692096117282,29.720660522401968
25366,21780,HARYANA,FATEHABAD,Malwala,15.5,15.39,75.3946556445611,29.73460991831068
25526,21951,HARYANA,KURUKSHETRA,Lohar majra,15.0,15.09,76.71072508142694,29.95319656363221
25180,21470,HARYANA,SIRSA,Chamal,7.0,6.97,74.95843116925698,29.572027707220407
25387,21808,HARYANA,SIRSA,Kotli,20.0,19.78,75.16641548185252,29.526159759478915
25278,21679,HARYANA,KARNAL,Picholiya,15.0,14.73,76.8739991997716,29.607496300782778
25279,21680,HARYANA,KARNAL,Birchpur,21.0,20.4,76.95668695329746,29.653395165539703
15726,11136,PUNJAB,MUKTSAR,Sukhman ablo,3.053,3.1,74.62588958926293,30.35036542856041
15725,11136,PUNJAB,MUKTSAR,Sukhman ablo,3.227,3.22,74.62780796641748,30.350947954127307
23267,18102,HARYANA,KARNAL,Jani,2.5,2.59,76.89336287944963,29.61345819471712
25525,21950,HARYANA,KURUKSHETRA,Mangoli jattan,10.0,9.27,77.03297626261418,30.1253878318614
25320,21721,HARYANA,SIRSA,Nezadela kalan,4.0,3.79,75.0581227040724,29.566932062905313
25569,22023,HARYANA,KARNAL,Bhushli,26.0,24.42,76.95746847884521,29.612537865585782
15801,11172,HARYANA,KURUKSHETRA,Rampura,12.6,11.54,76.94048585934452,30.05234306668517
15723,11134,PUNJAB,FEROZEPUR,Bna wali,43.7,43.2,74.78328055540156,31.076113048305505
25440,21876,HARYANA,FATEHABAD,Khumber,21.0,21.16,75.42392639333357,29.630588117663336
25385,21806,HARYANA,KAITHAL,Pabnawa,10.0,10.0,76.68647884481925,29.905957237749856
25384,21806,HARYANA,KAITHAL,Pabnawa,15.7,15.67,76.69146296583315,29.888192899441336
15659,11097,HARYANA,KAITHAL,Ahmedpur,9.0,9.43,76.66426031550543,29.76709577882473
8815,6805,PUNJAB,MANSA,Reond khurd,4.522,4.09,75.58076646204428,29.742680661844208
25574,22026,HARYANA,SIRSA,Kelnian,40.0,40.11,74.95918108582666,29.531676763676128
15874,11222,HARYANA,KAITHAL,Ahmedpur,9.5,9.7,76.66506364169052,29.752223672961502
10067,7618,HARYANA,KURUKSHETRA,Magoli,17.5,15.54,77.00318517220727,30.133062434446938
15923,11252,HARYANA,YAMUNANAGAR,Bakana,12.5,12.55,77.15088844920955,30.04444520268987
15922,11252,HARYANA,YAMUNANAGAR,Bakana,15.0,15.11,77.16070019238778,30.046627353227027
21760,16256,HARYANA,KURUKSHETRA,Mastapur,65.0,66.78,76.66810166695093,29.998217053428164
15732,11138,PUNJAB,MUKTSAR,sukhna ablo,9.03,8.81,74.62428879462807,30.353406699929277
15731,11138,PUNJAB,MUKTSAR,sukhna ablo,4.401,4.43,74.62975333971438,30.348910875477213
25587,22033,HARYANA,KURUKSHETRA,Mangoli jattan,16.0,15.77,77.037838635634,30.137092942160024
15887,11231,HARYANA,KURUKSHETRA,Kanauni,6.0,6.24,76.96572733071683,30.093034571081116
15921,11251,HARYANA,YAMUNANAGAR,Bakana,9.0,8.88,77.16047715373858,30.052846350717346
15911,11242,HARYANA,YAMUNANAGAR,Bakana,7.9,7.76,77.16318347242697,30.052804771913458
15783,11168,HARYANA,KURUKSHETRA,Rampura,22.0,21.76,76.94487879675268,30.04406385465477
15782,11168,HARYANA,KURUKSHETRA,Rampura,10.8,10.55,76.94354792005973,30.049478160913363
15781,11168,HARYANA,KURUKSHETRA,Rampura,7.7,7.61,76.9313095570917,30.056417972976647
15780,11168,HARYANA,KURUKSHETRA,Rampura,5.7,5.86,76.9261187409264,30.054083437522287
16032,11316,HARYANA,KURUKSHETRA,Jhivrehri,17.0,16.59,76.53728281168632,29.99905871598079
25685,22206,PUNJAB,FEROZEPUR,Khoo mohar Singh wala,2.0,1.85,74.61274339719554,30.98477663953837
25582,22029,HARYANA,FATEHABAD,Baliala,21.0,20.94,75.51309116585799,29.750738867240173
25581,22029,HARYANA,FATEHABAD,Baliala,35.0,34.73,75.51657639533288,29.74822281554751
25423,21856,HARYANA,SIRSA,Kotli,10.0,10.43,75.18264410132448,29.53579370875147
15544,11032,HARYANA,YAMUNANAGAR,Gillaur,1.0,1.01,77.07412136641854,30.094183520827187
25588,22034,HARYANA,KURUKSHETRA,Mangoli jattan,8.0,7.91,77.04043962496468,30.135762350888218
25686,22207,HARYANA,FATEHABAD,Tamaspura,26.5,26.15,75.47990307644054,29.63111937927545
19305,14419,HARYANA,KAITHAL,Sach,3.0,2.95,76.65730234565096,29.740104248790963
25779,22330,HARYANA,KAITHAL,Sakra,13.0,12.88,76.68797690377336,29.816552348713664
25468,21897,HARYANA,KARNAL,Barota,2.0,2.14,76.94030106091846,29.61625938975623
25467,21897,HARYANA,KARNAL,Barota,6.0,5.59,76.93756972846612,29.618429710923895
25466,21897,HARYANA,KARNAL,Barota,13.0,13.08,76.95057574508287,29.632220867884293
